Komentar,komen_Eng
quoti took too much ecstasaya in my 20s so nothing makes me happy anymorequot peter griffin,quoti took too much ecstasy in my 20s so nothing makes me happy anymore quote peter griffin
7 jt viewer memang tidak close the door sudah jadi open the door,"7 million viewers don't close the door, they just open the door"
emang anak setan om ded,"I'm indeed the devil's child, uncle"
bnr y kt orghanya org jenius bs jd komedian kualitas cerdas scra iq tp mgkin tdk dlm eq sq,It's true that only geniuses can be comedians with intelligent qualities based on IQ but maybe not in EQQ
pesan moral buka pintu referensi,moral message opens the door to reference
point penting,point penting
tuju banget salah cobaanteguran konsekuensi,really aim at wrong trialsreprimand consequences
gua masuk senang makan babi di tangkap,I'm happy to eat caught pork
maksud pakai narkoba pilih narkoba di konsumsi alas enak gimana om gua ngtidak ngerti cerah,"What does it mean to use drugs, choose drugs that are good for consumption? Om, I don't understand"
at the end its choicepilihan orang make narkoba paham dong barang ilegalyang mana bakal buntut soal hukumjadi kalau lo milih make lo milih siap sama konsekuensi alias jerat hukumchaks,"at the end it's a choice, people choose to use drugs, understand which illegal goods will result in legal issues, so if you choose to use, you choose to be ready for the consequences, aka legal snares."
kau nonton2 lah wkwkwkwkwk,you just watch it hahaha
suka jawab si agnostik di banding bang anji,I like to answer the agnostic compared to Bang Anji
anji bilang gamau tau cepu ngedoain cepu dpt karma kalo cok tau cepu tapi gamau salahin cepu krna tau salah sendiri make,"Anji said that I don't know cepu, I pray for cepu to get karma if I know cepu, but I blame cepu because I know I made a mistake myself."
banyak ngomong tidak guna orang munafiq ireng elek kakean model,"Talking a lot is not useful for hypocritical people, Ireng is an elegant model"
omong ga masuk otak lu krna lu liat bego mending lu nnton sinetron ikat cinta aja ccok buat lu,"I mean, it doesn't enter your brain because you look stupid, it's okay if you watch love soap operas, it's fine for you"
bang dong kisah pensiun bank bni angkat sini soal pernah angkat podcast knalpot bagai cara mental tlng dong bang kasihan ayah dan temantemannya mana hak hak pensiun rampas bank bni video klarifikasi di youtube dgn judul bang bni bank revolusi rampas hak hak pensunannya,"bro, bro, the story of BNI Bank's retirement, bring it up here, the question of having raised the exhaust podcast is like a mental method, please, bro, I feel sorry for my father and his friends, where are BNI Bank's pension rights seized, clarification video on YouTube with the title Bang BNI, Revolutionary Bank, Seizes Their Pension Rights."
,in
chuaakkssss,chuaakkssss
jjur sayaa udh mungkin nnton 100x,"To be honest, I've probably watched it 100 times"
produserin film cok rehabilitasi pasti bombastis banget trust me,"Producing a film about rehabilitation will be really bombastic, trust me"
atidak mirip pmo,I don't look like PMO
baru ajj pemakekkurang masuk 3x,Only 3x fewer users have logged in
paling kesel liat si coky pardede inisok paten kau,I'm most annoyed to see that Coki Pardede is pretending to be patent
jgn liat blokk,Don't look at the block
pornografi cowok anjing hahhahahahahhaha,dog boy porn hahahahahahahahaha
manusia fitrah makhluk religius cipta untukx000dbertuhan agama sekalipun banyak agamaagama cipta sendiri x000doleh manusia lalu observasi ikut agama nenek moyang x000dperlu digarisbawahi manusia mentidakui lemah makhluk x000dyang sempurna butuh dzat maha besar maha tinggi maha x000dmulia maha segala bahagia hakiki sosok x000dtertinggi bahasa agama sebut denga tuhanpara filosof awal bicara soal tuhan plato 427x000d347 smx000d5x000dyang kata alam semesta kuasi tuhan x000dberbeda plato usul dua tuhan beda sebut tuhan x000dniscaya baik tuhan satu cipta tuhan x000dbentuk dua bahasa yunani sebut kontijensi demiurgex000daristoteles murid plato kata hakikat x000ddialah gerak gerak dia wajibul wujud pasti x000dada tuhan adapun tampak panca indaria hanya x000dmukminul wujudx000dtidak dapat nafi ada bagi kelompok x000dmengingkari ada tuhan salah satu nietzsche orang x000dfilsuf jerman pada abad ke19 kata gagas mati x000dtuhan ketidakpercayaannya tuhan kuat gagas x000dmengugsung paham atheisme optimisme8x000dmenurut nietzsche manusia mentidakui ada tuhan rena tingkat ilmu x000ddan teknologi rendah manakala capai ilmu tahu x000dteknologi tinggi niscaya percaya tuhan perlu lagix000dmenurutnya berkat maju ilmu teknologi mampu mengatsi bagai x000dmacam soal hidup manusia sosok tuhan x000djelaskan agama fungsi ganti maju x000dilmu teknologi 9x000dpersepi nietzshe bukti sempurna bahkan x000dsemakin kembang maju teknologi bagai macam mucul problem x000dkehidupan saat banyak bencana sakit x000ddijangkau teknologi tunjuk betapa lemah teknologi x000dpadahal buya hamka sungguh makin x000dberkembangnya ilmu pengatahuan hasil teliti lidi manusia pada hakikat bukan tambah jauh tuhan x000dmenambah buka pintu gerbang iman nyata lihat kembang puja x000dghaib pengaruh ada hidup masa apabila hidup maju x000ddan pindah pindah zaman cocok tanam mulai asa tali x000derat antara langit bumi bur tumbuhtumbuhan kait x000ddengan hujan langit timbul anggap langit letak maha kuasa x000ditu12x000doleh timbul prasangka matahari pusat kuasa x000dkarena tukar antara siang malam bola merah edar x000dadalah mata gilir antara siang malam dia tuhan x000dsini mulai timbul kembang cara pikir manusia manusia mulai x000dmengambarkan satu ini pangkal sembah matahari bagai macam persepsi timbul pikir kata matahari x000dpusat kuasa itu karena siang malam putar matahari x000dselanjutnya manusia mulai perhati bulan pengaruh x000dkepada tanamtanaman binatang ternak pengaruh pasang naik surut laut x000dbertambahla percaya bahwasanya pusat kuasa itu hanya esa juga x000dbuya hamka beri ide capai tuhan harus x000dpertuhankan bersih jiwa manusia pengaruh fitrah x000dmanusia rasa ada maha kuasa manusia tahu jalan x000dselama manusia sembah takut pandang x000dberpengaruh puja roh dari nenek moyang seseoarang besar x000djasanya lalu manusia buat patung berhala tangan sendiri x000dlalu sembah datang kepalakepala agama pendeta dukun kata x000dmereka mereka yang sanggup kuasa hubung maha kuasa x000dsehingga percaya fitrah yang suci telah kotor sama manusia13x000dwujud ada allah tuhan yang esa bukan perkara sulit yang x000dharus cari jalan berbelitbelit meski awal belum tahu x000dtentang siapa nama pikir ada allah tiap zaman saja x000dkacau karena belum ada tuntun kerap kali allah satu x000dyang lain satu allah bagi beberapa bagi kecil x000dterpecah belah pada hakikat manusia yakin tuhan yang esa x000dwalaupun pikir belum bisa tangkap batin rasa x000dadanya tuhanx000dariealitas tuhan rupa masalah penting krusial perlu x000dmendapatkan jas teologis realitas benar tuhan apa x000dyang akan kita sebut sumber cipta emanator tidak x000dkebingungan atau rancu paham teologis ini cenderung mentidakibatkan x000dkesalahpahaman pikir manusia situasi eksistensial realitas tuhan x000ddalam sejarah pikir lihat persoalanpoersoalan x000dtuhan tidak sama tempat di zaman,"human nature is a religious creature created to x000d believe in religion, even though there are many religions, religions are created by themselves x000d by humans then observe following the religion of their ancestors x000d it needs to be underlined that humans accept weakness x000d perfect creatures need a substance that is the greatest, the highest, the supreme x000d noble, the ultimate happiness, the supreme x000d figure, the language of religion calls it God, the early philosophers spoke About God Plato 427x000d347 SMX000d5 looks panca indaria only x000dmukminul existence definitely believe in God it's necessary again the more x000dthe development of science, the results of human research on the essence, not the further away from God, x000dincreasing the opening of the gate of real faith, seeing the flowers of worship x000dghaib, the influence of life, the times when life progresses, x000dand moves to different eras, cultivation begins with hope, the rope x000is tight between the heavens and the earth, plants grow, x000dwith the rain of the sky arose to think that the sky is the all-powerful position x000dThe center of power is because day and night the sun rotates x000dThen humans began to pay attention to the moon, x000d's influence on plants, livestock, influence of sea tides, x000dIncreased belief that there is only one center of power, x000dBuya Hamka gave an idea, God must x000dmaintain clean human souls, influence of nature, x000dHumans feel that there is almighty humans know the way God is the one God, it's not a difficult matter that x000d has to look for a convoluted way even though at first you don't know x000dabout what the name is, think there is a god every age, x000dchaos because there is no guidance, often one god Esa x000dGod's problems are not in the same place in time"
komen panjang panjang tidak yang like,Long comments are not liked
salin mah,copy me
ntidakak ahahaha,no way hahaha
emang ancrit ni orang akwowkwowk,"I really am an ancrit, akwowkwowk"
sky boy,sky boy
cok sama rg dong,"it's good for me, bro"
cok kulit merah banget kaya babi guling bal,really red skin like suckling pig
hhhh,hhhh
habib ja far hei umat urus nih,habib ja far hey people take care of this
mohon maafsebelum paman cok baik d penjara aja cuaksss ada lah orang pemuda sesat sampai at juga sesat sattttttt,"I'm sorry, before uncle Coki is fine, just go to prison, cuaksss, there are young people who are misguided and even misguided."
mantepan pake celana panjang dah si paman hehe,Uncle is wearing long pants hehe
pisosiet apa om ded,what pisosiet uncle ded?
public speakingnyaemotional intelligencenyabagus nih orang asli ken liat cok ngool ama rg,"His public speaking, emotional intelligence, is really good, real people can see how cool he is with RG"
anjir keren ken,"Cool guy, Ken"
rg rigen kan,rg the kingdom can
apas lu gajelas,are you not clear?
hehehehe,hehehehe
p byr ny minta rehab tangkap,p paid to ask for rehab and arrest
btw cok minum mulu,"BTW, why don't you just drink?"
seret,drag
makin item ae ni cok,makin item ae ni cok
guna narkoba kok kasih panggung om ded tidak orang laen punya kualitas masuk podcast gin sihhh om dedyy yang nyarik makannnn ampe guna narkoba undang di kasih panggung,"Why don't you give me the stage for using drugs, Uncle Ded, doesn't anyone else have the quality to enter the podcast, bro, Uncle Dedyy, the one who eats so much for using drugs, invites you to give me the stage"
nyari makan pikir dulu dek lo omong lo bahkan gaada harga depan deddy,"Looking for something to eat, think about it first, what are you talking about? There's not even a price in front of you, Deddy"
kapan cok bahas teknologi asa bahas agama mulu kata jgn bahas agama eh malah yang bahas mulu mungkin efek sabu masukin b00l kali,"When does Coki discuss technology, please discuss religion first, don't discuss religion, but instead, the one who discusses it first, maybe the effects of crystal methamphetamine include b00l."
ga pp sih gabung sm odgj cucok cucok aja,It's okay to just join ODGJ Cucok Cucok
bener banget yang gw rasain cok bukan sakau macam rindu,It's really true that I feel like I miss you
somasi cok pardede om ded,Somasi cok pardede uncle ded
wah ngeri ni om ded buka kartu nonton pornografi cowo dong kata akwkwkwk,"Wow, this is horrible, OM DED, open the card to watch pornography, the guy said akwkwkwk"
wkwk ntidakak honesty banget gua yakin bang cok lu gabakal releps lg masa pernah alami karna pikir genius jadi clean and sober,"I don't want to be honest, I'm sure bro, you're going to relapse when you've experienced it because you think you're a genius, so you're clean and sober."
kenapa melet melet gitu,why is it so slow?
,in
betul,right
musti undang orang si memang podcast sudah ada bintang tamu lebih manfaat semua orang,"You have to invite people, because the podcast already has guest stars, which is more beneficial for everyone"
666 angka special buat kaum fremason dajjal,666 special number for antichrist freemasons
plus tato lambang satanic,plus satanic symbol tattoos
bisa senyum senyum,can smile smile
fokus cok muterin kemas minum agar lihat camera merek,Focus on turning around and drinking so you can see the brand's camera
bang cok kok mirip sama baron zimo film falcon and winter soldier,"Bro, it's similar to Baron Zemo from the film Falcon and Winter Soldier"
jauh fak,far away
mahuang tumbuh tumbuh china punya zat nama ephedaria ephedaria senyawa sama ephedariin truss ephedariin adalah bahan baku obat trigger jantung cocok buat bahan supplement gym efek buat jantung kerja extra masuk meth meth bahan baku sisik tringgiling dulu di olah pake cara tentu distilasi menghasilka ephedariin sisik trenggiling susah masuk daftar hewan ancam punah pakai mahuang karena juga hasil ehpedariin kualitas baik ephedariin sisik trenggiling mangkanya meth sekarang gk bagus meth dulu wkwkwkwk,"mahuang grows, grows in China, has a substance called ephedaria, ephedaria, the same compound as ephedariin, so ephedariin is the raw material for heart trigger medicine, suitable for gym supplements, effects on the heart, extra work to enter meth, the raw material for pangolin scales is first processed using a certain method, distillation produces ephedariin, pangolin scales are difficult to enter. The list of endangered animals uses mahuang because it also produces good quality ephedariin from pangolin scales, the meth now isn't as good as the meth before hahaha"
bahaya orang buat generasi terus negara percaya,the danger of people making the next generation of the country believe
hahaa jgn dipeduliin lah abai,hahaa don't care just ignore it
rindu cp,miss cp
mungkin orang podcast somasi pinggir jurang om deddy ketangkep cuma selang hari waktu tidak mencuritidakan korban,"Maybe people from the subpoena podcast on the edge of the cliff, Uncle Deddy, were caught only after a day when they didn't steal the victim"
beberapa tuju ada beberapa juga yang turut tanya simpang,some directions there are also some who also ask the junction
mata melotot gitu tinggi bos msih aja ente,"Your eyes are bulging so high, boss, it's still you"
ga nyesel gua udh unsubscribe,I don't regret unsubscribing
ga duli,Gaduli
tanya buat cok siram to the point sogok berapa biar dapat rehabilitasi soal umum bukan rehabilitasi di lapas,"ask for cok flush to the point how much is the bribe to get rehabilitation for general matters, not rehabilitation in prison"
bodoh uud ad make rehabkorban,"I'm stupid, so there's rehab for the victim"
bilang cok ni memang masuk logika orgnya lenge,saying that this really fits the logic of the people
baru banget bebas nih,I'm so free now
aduuuh sampah masayaarkat ngapain kasih panggung habis sumber ded,"Oh, what are you doing with the rubbish of society, giving the stage, you've run out of resources, ded"
gapapa sampah masayaarakat penting tiket show jual 7500 chuaks,"Never mind the rubbish of society, it's important that show tickets sell for 7500 cuaks"
chuaksss,chuaksss
how can people hate cok hes so open and honest with everything humble a bit funny has a good thinking and mindset cant ever get enough of this guy,how can people hate cok hes so open and honest with everything humble a bit funny has a good thinking and mindset cant ever get enough of this guy
orang tua baperan ga demen ama ni orang,old people are not demented
padahal pikir logis bgt,even though I think it's very logical
they hate cok just bcs of his belief in god,they hate cok just bcs of his belief in god
cuma ga honest kalo g4y,just not honest if g4y
nonton pornografi cowo rasa yaa,I think watching male pornography
nonton mma,watch mma
hahaa logika nyabu lewat doblo nonton mma gimana,"haha, what's the logic of cheating by watching MMA?"
pornografi cowok mma,mma boy porn
slogan smart people orang pinterorang pinter gk konsumsi narkoba pamer t t astaghfirullah ganti slogan,slogan smart people smart people smart people don't take drugs show off t t t astaghfirullah change the slogan
pasti enak,definitely good
deddy corbuzier tahu tidak libat kait narkoba cok paredekenapa narkoba sendiri persayaaratan pakai legal via psikiater itu periode batas kalau salah satu podcast bang deddy benar make sesuai ijin psikiater jenis xanax atas ganggu tidur ps sabusabu atas ganggu adhd cok pardede yakin komedi omong punya resiko masuk ranah hukum sisi gelap milik komedian benar juga mikir resiko,"Deddy Corbuzier knows that he is not involved in drugs bro, why is it that drugs are used legally via a psychiatrist? There is a limit period if one of the podcasts, brother Deddy, is using it according to the psychiatrist's permission, like Xanax for sleep disorders, PS, Sabusabu for ADHD disorders, Pardede is sure comedy talk has a risk of going into the law. the dark side of true comedians also thinks of risk"
bicara kaya orang ngelem,talking like a lazy person
undang dong bareng tretan,Invite me along with you
cok pardede dibanggain karna itu wtf lah sukses cok oke lah gw cuma oke aja gw rakyat gembek gapunya apaquot komen bgini bukan sirik shit apa yaudh lah smua nilai,cok pardede is proud because it's successful wtf cok it's okay I'm just okay I'm a lazy people what's wrong with this comment it's not envy shit what's up all the value
haaah sama wkwkwkw kampret cok,"hahaha and hahaha, it's crazy"
stop making stupid people famous,stop making stupid people famous
kapan cok pardede ciduk polisi om ded soal seru liat adegan tau bang,"When will Coki Pardede be arrested by the police, Uncle Ded, it's a fun scene to see, bro"
anglenyaaa,English
mma,mma
nambah wawas,increase balance
youtubenya mli kok hilang dihack,Mli's YouTube has disappeared since it was hacked
geeeeeehhhh,geeeeeehhhh
org kristen memang banyak make narkoba jadi gay,Many Christians use drugs to be gay
maksud nih kok org kristen,I mean Christian people
seru tuh klo ikut somasi,It's fun to join the summons
tunggu komedi lubang bokong cok,wait for the butt hole comedy bro
om dedi dong bikin rsko bener2 buat pakai henti keren om kalau,om dedi dong make rsko really make use stop cool om if
baju loh 666 wwkwkkwkk,666 logo shirt hahaha
cok gede bacot,long gone bacot
jelas mantep ni cok,It's clear that it's great
selalu pesona dengar cara gaya bicara cok sisi positif harus tiru dari,"Always be charming with your way of speaking, the positive side is something you should emulate"
yang ketawa ga sih,Who laughs?
cie udah narkoba gay masih aja gatau malu tampil publik hahahahhaha,"cie, already on drugs, gay, still not embarrassed to appear in public hahahahhaha"
wah mah kaya nonton eaking bad deddy mrwhite copar jesse pinkman wkwkwkwk,"Wow, it's like watching Breaking Bad Daddy, Mr White Collar, Jesse Pinkman, hahaha"
mma cuaaakkss,mma cuaaakkss
mah ytta kan om ded wkwk,mah ytta right uncle ded hahaha
paham pikir om ded sekarangdan juga analis kata om cok cuakssss,I understand Uncle Ded's thoughts now and also the analyst says Uncle Cok is cuaksss
kangen kali aku tawa inj,I miss the times I laughed
gua akhir sadar banyak ketawa bukan arti orang bahagia,I finally realized that laughing a lot doesn't mean someone is happy
ngeles aje akuin aja sih kalo lo lgbt ga berani takut fens lo pergi krn jijik najis aman lindung balik kata quotatheistquot krn lu ga dpt jawab agama mana bolehin lgbt makanya lu lagu lagu atheist najisayaang liat karya lu kok stop lah dariama dariama ga percaya tuhan cuma buat nutupin kalo lu suka lobang tai laki laki najisss tp lu tetep kocak haha komedi lu nilai men bukan orientasi sex elu,"I'm sorry to admit that if you're lgbt you don't dare to be afraid of the fens, you go because you're disgusted with the filth, protect yourself from saying quotatheistquot, because you can't answer which religion is allowed to be lgbt, that's why you sing atheist songs, you're filthy, I look at your work, why do you stop, you stay silent, you don't believe in God? cover it up if you like dirty man's toilet holes but you're still funny haha ​​comedy you value men not your sex orientation"
karna lgbt lbih laknat daripd narkoboy,because lgbt is more cursed than narcoboy
lord,lord
bahasa suka enak paham,the language is easy to understand
cok meditasi cok loe dapat lebih enak loe pakai obat larang,How come meditation makes you feel better when you use illegal drugs
sini sadar orang sering tertawa bukan arti hidup bahagia dia usaha tutup sedih ny sepi ny pilih jalan senang instan tak peduli apa resiko,"Here, we realize that people often laugh, which doesn't mean a happy life, they try to close their lives, they are sad and lonely, they choose the path of instant happiness, no matter what the risks are"
ajg nyata cok cuma butuh kebahagiaaan,I really just need happiness
pas tanya karna rsko trus jawab bukanbenarbenar ntidakak momen,"When I asked because of the risk, then I answered that it wasn't really a bad moment"
nih orang gila balik tai,This crazy person is back
bebas cepu,cepu free
orang adab bungkus kata kata akan didik,Civilized people pack words to educate
keluar penjara mabok ngga habis pikir sih cuma gua lihat cok tuh kaya ga kapok statment tuh gua nangkepnya jurus narkoba nih orang ga cocok jadi publik figure banyak negatif diri cok soal agama meski gua bukan manusia baik sempurna just publik figur kaya bgga cocok coba lihat nantimudah mudhaan jadi 2x,"When I got out of jail drunk, I didn't think about it, I just saw how rich it is, it's not good for the statement, I caught it with drugs, people don't fit to be a public figure, there's a lot of negativity about religion, even though I'm not a perfect person, just a rich public figure, I'm not suitable, try to see later, hope it's easy so 2x"
udh nton tretansama emak aja tak tralu anggap,"I've watched my mother's show, I don't even think about it"
hadehh sesat,I'm lost
pisoksiet arti,piscosiet arti
cok ur best,cok ur best
cara ngomong sampai cok awal akhir podcast jawab kenapa muslim jauh dan pilih sangat tepat,How to talk until the beginning of the end of the podcast answers why Muslims are far away and chooses very correctly
gimmick mainin isu sara ujung2nya pake waris generasi boomers 70an kaum hippies klaim bawa pesan damai ngefly budak hendak bebas lepas kontrol padahal depresi dg pemerintahanya sendiri dlm kondisi machievalic jalan amanat darwinkalo iya mau bahas toleransi rasionalitas meski dlm joke harus ga asal main generalisir buat simpul subjektif ttg agama kalo bahas isu kaya gitu harus ajar konteks masalah detil tiap individu orng agama berbeda2 latar belakang dgn senjang sosial ekonomi masing2 micu karakter belum jalan dg agama pakai agama dg cara salah jadi pribadi machievalic konsep keagamaanya harus ajar komprehensif kapasitas harus niat karen armstrong ajar kaji agama2 bukan asal judge kompilasi jadiin joke orng agama respon joke bejat ateis dlm machievalism dimana2 masuk sistem ekonomi masih pake motto darwin nyebabin senjang sosial banyak denial lagimending mamat alkatiri bintang emon konte jelas edukasi lawan masayaarakat dg oligarki kebijakan2 politik harus sadar rugi rakyatbuat ngimbangin agresif buzzer sampe emon di fitnah pake narkoba segala,"The gimmick is playing on the end of life issue using the heirs of the boomers generation in the 70s, the hippies claiming to bring a message of peace, flying slaves to be free from control, even though they are depressed with their own government in machievalic conditions, Darwin's mandate, if they want to discuss tolerance, rationality, even if in a joke, they should not just generalize to make a subjective point. religion, if we discuss such a rich issue, we must teach the context of the problem, the details of each religious person, different backgrounds, socio-economic differences, triggering character, not working with religion, using religion in the wrong way, becoming a machievalic person, the concept of religion must be taught comprehensively, the capacity must be intention, Karen Armstrong, teach the study of religion it's not the origin of the compilation judge to be a joke of a religious person, the response to the joke is a depraved atheist in machievalism, where those who enter the economic system still use Darwin's motto because of the social gap, there are many denials, mending mamat alkatiri bintang emon, it is clear that education is against the people, with the oligarchy, the political policies must be aware of the loss of the people, to balance the aggressiveness of the buzzer until emon slandered by using drugs"
cok istighfar ga sih,Why don't you forgive?
sori bilang nyagua udh pakai earphone 6jt nih,Sorry to say I'm already using 6 million earphones
tetep full senyum,still full of smiles
relasi,relation
berani kritik laku kdaritharus berani kritik laku lgbt amp pemakaipengedar narkobajadi muslim jangan setengah2,"Dare to criticize your behavior rather than having to dare to criticize the behavior of LGBT people and drug dealers, so don't be half-hearted Muslims"
relasi,relation
eh,eh
umum in sayaa allah bayu ada usaha kosan 20 pintu rawa jaya dkat kmpus uin palembang tmpt tmpt strategis,"General information, God bless you, there is a boarding business, 20 gates, swamp, Jaya, near the Palembang uin campus, strategic location"
kapan kena cok,when will it hit?
waaw lord kembali senang hati hhe,wow lord I'm happy again hhe
coba undang anak alm freedi budiman,Try inviting the late Freddy Budiman's son
bangga pake narkoba konten bodoh,proud to use drugs stupid content
konten bodoh,stupid content
baperan,tired
chuakszz,chuakszz
cok g ngetweet soal tragedy kanjuruhan nunggu in,why don't you tweet about the Kanjuruhan tragedy?
cok pardede siapa,Who's Pardede?
baru keluar goa banyak nonton youtube biru si pastes gatau cok,"Just got out of the cave, I watched a lot of blue YouTube, but I didn't know"
buta map,map blind
anjay si homosi najis,Anjay the unclean homosexual
ga ngaruh mahmalah neng di katain kek gitu,"It doesn't matter, even though it's said like that"
malah bocilquot sembah yang panas 2had di hina,even bocilquot the hot prayer 2had is despised
emng yang nyembah cok,people who worship cok
kapan nih paman cok temuin tretan,When is Uncle Coki Tretan's friend?
buat abang cok sekarang banyak bahan tepi jurang nih indo ayo hajarrr,for brother cok now there are many materials on the edge of the abyss indo let's go hajarrr
akhir comeback woyyy wkwk,end of comeback wow hahaha
nih orang beberapa taun juga relevan tar tauk2 nongol jadi orang alim tarohan sama gw wkwkwk,"Here are people who have been with me for a few years and are also relevant, so I bet you are a pious person"
gw sadar gw pernah ketemu cok bca kemang dia belah gw pake topi batman anjir gw ga sadar kalo cok,"I'm aware that I've met Cok, BCA, he's split, I'm wearing a Batman Anjir hat, I didn't realize that Cok"
betul akset kat apa laku auto hambar cara gw pribadi hadap dampakx gw pilih diam rumah sendiri kontak gw ganti sampe teman gw masih main di mantan dunia gw tdk hantu ku tpi gw tetap gaul tpi pilih orang orang beda kalo gw dpat orang sama gw pilih cepat pulang rumah aj,"It's true, what do you say, the assets are selling automatically, my personal way of dealing with the impact is that I choose to stay at home alone, my contacts change until my friends still play in my ex's world, I'm not a ghost, but I'm still social, but I choose different people. If I meet the same person, I'll choose to go home quickly. just home"
kata bukan cok aslipmn udh mati pas penjara,"That's not what the original word said, but he died in prison"
sicepat meja terus tempat bangkrut ruko banyak ttup pun admin finance di lengser parah2,"The desk went straight to the place of bankruptcy of many shops, but even the finance admin was seriously removed"
kalimantan lancar jawa kalimantan cuman 2hari udh tangan dsni cacat anteraja sminggu baru sampe,"Kalimantan smooth, Java, Kalimantan, only 2 days, already in my hands, defective, anteraja, just arrived last week"
awowkwowko comika homo,awowkowko comika homo
welcome bang cok,welcome bang cok
rasa 1 thn,I think 1 year
cok tangkap cuman aja,just catch it
